Request,Label
Adicionar música tomohisa yamashita à minha listas de reprodução Latin Dance Cardio,add_to_playlist
"Eu quero adicionando Aprite le finestre à minha playlist intitulada This Is Earth, Wind & Fire",add_to_playlist
Que curta-metragens estão tocando às 11 da manhã no Dickinson Theatres,search_screening_event
precisa de uma sala em um que serve foie gras no dia das bruxas para dois em Ilhas Marianas do Norte,book_restaurant
"Atribuir 4 estrelas de 6 para a crônica, Deus e o homem em Yale.",rate_book
mostrar a transmissão do filme The Statue,search_screening_event
Eu quero dar a série Garin Death Ray 1 estrelas,rate_book
Eu quero adicionar uma música de wc clark para minha nerding around playlist,add_to_playlist
Será mais às cinco horas na Área Natural de Manejo Integrado Apolobamba?,get_weather
"Deixe-me ouvir o primeiro álbum do artista, Skin.",play_music
Toca a melhor música de Phoebe Snow,play_music
Adicione a música à de reprodução do Metal.,add_to_playlist
Toca música gangsta,play_music
Eu quero dar a atual saga 0,rate_book
Encontre o late-night de Way West,search_creative_work
Classifique Pilar de Fogo e Outro Joga três,rate_book
reservar uma para dois no restaurante às 21h,book_restaurant
Diga-me quando será mais que na minha posição atual,get_weather
Classifique as lanças quebradas com 2 estrelas.,rate_book
5 de 6 pontos para Racing the Rain,rate_book
dá 3 ressaltos ao livro atual,rate_book
Reserve uma mesa para três em um restarunt em Federal Hill,book_restaurant
classificará o romance atual 3 de 6,rate_book
Haverá muito clima vento em West Fargo GU?,get_weather
Qual é o 7 dia para a área de gestão de vida selvagem de Cheat Canyon,get_weather
É Flow: Por Amor à Água tocando nos Teatros do Sul às 2 da manhã,search_screening_event
dispensar um lugar na mesma área que o Yankee Doodle Coffee Shop em Madagascar,book_restaurant
Que começam aos dezoito anos no Caribbean Cinemas,search_screening_event
Será mais frio em Oaklawn Zambia?,get_weather
Qual é o em Selos,get_weather
Mostre-me os horários do filme para o Caribbean Cinemas em 1 segundo.,search_screening_event
colocou o artista Emre Aydin na playlist Happy Birthday,add_to_playlist
Reproduza o último álbum de 1973 de Peter Derose.,play_music
qual é a arrecadação a partir de 1 de setembro de 2039 para condições mais frias em AK,get_weather
Eu quero levar nove pessoas para um restaurante perto do spa,book_restaurant
Adicione o autry inman à minha de reprodução de Hanging Out e Relaxing.,add_to_playlist
Adicionar esta faixa à Sin Ti,add_to_playlist
Adicione Fair Charlotte à listagem de reprodução We Wewhere.,add_to_playlist
gravar o ál Como insensível,play_music
"Por favor, procure a série Quando a Lovelight começa a brilhar através de seus olhos.",search_creative_work
